,User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
10,"[-0.11850761  0.28633133  0.03555726  0.12181323 -0.09023845 -0.27170619
  0.38604173  0.62530404 -0.30908415  0.04287231 -0.1382606  -0.43503436
 -0.02335984  0.0573435  -0.02810389 -0.42172414  0.06362577 -0.49943459
 -0.0641286  -0.53399813  0.24894057  0.06973728  0.06892673 -0.07562716
 -0.37721622  0.01613681 -0.03816657 -0.18684649 -0.300807    0.02446147
  0.16388412  0.06053883  0.1768419  -0.13505314 -0.12727661  0.47954264
  0.17142475 -0.3138693  -0.19103307 -0.67458183 -0.08343942 -0.23010464
 -0.21838008 -0.03705893  0.35516891 -0.1334268   0.17372267 -0.01588424
 -0.02328022  0.09870351  0.15292118 -0.16205694 -0.2116303   0.13553125
 -0.24974929  0.09028395  0.12972    -0.16187176 -0.24543355 -0.15961115
  0.16312589  0.09941111  0.11794598 -0.26464161 -0.43071061  0.27909964
  0.16102417  0.5130778  -0.60871673  0.37958843 -0.15956742  0.15337263
  0.20212695  0.0663181   0.30456173  0.1714703  -0.15355416  0.0132824
 -0.20659634  0.11110329 -0.13162328 -0.10632518 -0.27922389  0.44304875
  0.04000705  0.10174192  0.075633    0.28934741  0.30563617  0.11994507
  0.2814438   0.12009326  0.00237317  0.06133049  0.61388797  0.17273887
  0.13679881 -0.13123345  0.07211768 -0.26223716]",2024-10-08,5,12,0,0,0
11,"[-0.05965379  0.1580129   0.01915699  0.06682035 -0.05566928 -0.15352125
  0.21254808  0.35406032 -0.16964599  0.02644084 -0.08101964 -0.24416478
 -0.01613288  0.03475524 -0.02478616 -0.23917447  0.04221901 -0.28118432
 -0.03184943 -0.29905933  0.1420915   0.03274258  0.0321169  -0.0393511
 -0.21841986  0.00892908 -0.02209156 -0.10193207 -0.17024207  0.01573458
  0.08879287  0.03971735  0.0987079  -0.08334681 -0.07020912  0.26571143
  0.10158478 -0.18002087 -0.1112239  -0.3743875  -0.04618203 -0.13413419
 -0.12365006 -0.0195519   0.1990734  -0.07664367  0.0995001  -0.0140216
 -0.01245161  0.05537809  0.0856062  -0.0881006  -0.12144054  0.08025013
 -0.14760512  0.052434    0.07341312 -0.09427997 -0.14656572 -0.08540288
  0.09588602  0.05694591  0.06369983 -0.14506224 -0.23701334  0.1585159
  0.09282618  0.28734502 -0.33817735  0.21047504 -0.08488616  0.08718668
  0.10952612  0.03619339  0.18122974  0.09819879 -0.08716473  0.01159058
 -0.1089934   0.06175061 -0.07416955 -0.05827853 -0.16167572  0.25018969
  0.01743137  0.05628878  0.04346697  0.1653617   0.17581059  0.06447534
  0.16410343  0.06624779  0.00391008  0.03365146  0.34000951  0.09164362
  0.07489668 -0.07722936  0.03604807 -0.14937693]",2024-10-08,3,118,0,0,0
12,"[-0.11433557  0.28728673  0.02977303  0.11252213 -0.0953073  -0.27979198
  0.38611364  0.65023875 -0.30645588  0.04084961 -0.14600939 -0.43703356
 -0.03882501  0.05974026 -0.03689305 -0.42990568  0.07321054 -0.50916475
 -0.05777745 -0.54409057  0.25380191  0.0609411   0.06877234 -0.06335491
 -0.39554605  0.01703945 -0.02998849 -0.17519319 -0.31075504  0.03668986
  0.16691971  0.06468857  0.17659122 -0.15256618 -0.12759674  0.48809138
  0.18298672 -0.33294788 -0.20082803 -0.68016052 -0.08442193 -0.23847632
 -0.22515607 -0.03240499  0.37158933 -0.13262865  0.18062513 -0.02467307
 -0.01922414  0.09772366  0.15881871 -0.16087437 -0.21799113  0.13834167
 -0.26579821  0.0887473   0.13003486 -0.16486986 -0.2527965  -0.15840216
  0.17665505  0.10729939  0.11159375 -0.26589379 -0.43083322  0.28520063
  0.17095165  0.52587849 -0.61395985  0.38404307 -0.15662462  0.15476495
  0.19502024  0.06888556  0.31802598  0.18168016 -0.1562739   0.02464949
 -0.20215301  0.11365366 -0.13396074 -0.1005227  -0.28693533  0.45184019
  0.03516119  0.1013974   0.08424144  0.30555063  0.30788463  0.11207473
  0.29410112  0.11680166  0.00152994  0.05909882  0.62452489  0.16500854
  0.14110695 -0.14471474  0.0689534  -0.26531371]",2024-10-08,5,30,0,0,0
13,"[-0.06337302  0.17185594  0.02275233  0.06692269 -0.05926905 -0.17190051
  0.23550425  0.3910943  -0.18760677  0.02174577 -0.08870799 -0.26725373
 -0.01724594  0.04151251 -0.02206996 -0.26172319  0.04139031 -0.31072441
 -0.0346446  -0.33209515  0.15406597  0.03536507  0.03304174 -0.04514182
 -0.23834798  0.01160759 -0.02011105 -0.11055463 -0.18818282  0.02376079
  0.09972886  0.04358384  0.10378271 -0.09110385 -0.07808324  0.29417774
  0.10665687 -0.20144366 -0.12148835 -0.41423503 -0.05169791 -0.14730743
 -0.13337605 -0.02253072  0.2219498  -0.08018094  0.10326941 -0.01221082
 -0.01103463  0.06446536  0.09539227 -0.09952186 -0.1328135   0.08366808
 -0.15537031  0.05668312  0.07993346 -0.09842966 -0.15539131 -0.09627044
  0.10538427  0.06179892  0.06773985 -0.16289636 -0.26221505  0.1746413
  0.09883158  0.31318352 -0.37272978  0.23539226 -0.09353454  0.09366307
  0.12081028  0.03760245  0.19054404  0.11119086 -0.08881052  0.01401042
 -0.12127664  0.07104156 -0.0831285  -0.06226511 -0.1788307   0.27747545
  0.02200538  0.06172913  0.0487324   0.18394092  0.19184968  0.07159895
  0.18072188  0.07735997  0.001304    0.04151353  0.37492421  0.10265993
  0.08134719 -0.08687826  0.04167581 -0.16122457]",2024-10-08,5,65,0,0,0
14,"[-0.0703768   0.19492835  0.02162646  0.07618455 -0.06327399 -0.18842342
  0.25995815  0.4459371  -0.20416823  0.02797711 -0.10197203 -0.30393982
 -0.03276868  0.03880599 -0.02174935 -0.28289136  0.04810886 -0.34899014
 -0.0352814  -0.37154186  0.16968128  0.05096957  0.04909871 -0.04759344
 -0.26896399  0.01259523 -0.01394234 -0.11466815 -0.21075359  0.03029213
  0.11744761  0.03640143  0.12789486 -0.10185391 -0.09421519  0.33324146
  0.12991507 -0.23135377 -0.12809962 -0.46761435 -0.06396692 -0.15645294
 -0.15572336 -0.01917716  0.25399336 -0.08097535  0.12469035 -0.02442765
 -0.01056904  0.06068163  0.10426306 -0.10268041 -0.15186572  0.10114815
 -0.18211479  0.05592999  0.09657718 -0.10899749 -0.16689847 -0.1009785
  0.12021286  0.07669629  0.06661462 -0.1742662  -0.29564822  0.19742836
  0.10955779  0.35175276 -0.41041309  0.2582368  -0.11226389  0.09968174
  0.12525102  0.05173346  0.21183735  0.12139223 -0.11098588  0.00872005
 -0.14256497  0.0808095  -0.08154641 -0.06439161 -0.18839134  0.30747741
  0.03276715  0.07794248  0.05543488  0.20789856  0.20539366  0.07687549
  0.20582461  0.07410022  0.00158239  0.03580849  0.42758778  0.11345486
  0.09306078 -0.10146358  0.05176418 -0.185259  ]",2024-10-07,5,13,0,0,0
15,"[-0.10829735  0.27005783  0.02925199  0.10900808 -0.09247071 -0.26809385
  0.35932696  0.60612899 -0.29177937  0.0334647  -0.13251992 -0.41389585
 -0.03344859  0.066006   -0.03609243 -0.40591642  0.06743469 -0.4752436
 -0.05791346 -0.51452684  0.23881525  0.06012242  0.05621259 -0.064672
 -0.36248073  0.01272437 -0.0295963  -0.16639908 -0.2937907   0.02714039
  0.14850192  0.06360945  0.16326626 -0.1457001  -0.12364622  0.45853665
  0.16525789 -0.30839589 -0.18753667 -0.64131957 -0.08010515 -0.22216696
 -0.21248035 -0.04094998  0.33767533 -0.12922056  0.16088168 -0.02076368
 -0.01941882  0.09917302  0.14586134 -0.14933245 -0.20682037  0.1300263
 -0.24252582  0.08414534  0.12839545 -0.16018955 -0.24779034 -0.1414222
  0.1693822   0.09897622  0.10657179 -0.25790694 -0.40182042  0.26901218
  0.15573715  0.48701438 -0.58032626  0.36498657 -0.1380901   0.14910014
  0.18649876  0.05776353  0.30318686  0.170093   -0.14075573  0.01804849
 -0.18987781  0.10524631 -0.11896676 -0.09216287 -0.27159122  0.42035976
  0.03351299  0.09594546  0.07565773  0.28293937  0.29213059  0.11295221
  0.27659813  0.11589257  0.00195316  0.05911143  0.57685035  0.16085793
  0.12355179 -0.14092648  0.06445417 -0.24291961]",2024-10-07,5,74,0,0,0
16,"[-0.07681362  0.17564321  0.01301355  0.07971368 -0.05559568 -0.17047605
  0.2498714   0.40522459 -0.20398287  0.03430473 -0.09677043 -0.26798144
 -0.01575246  0.03791    -0.03343851 -0.2726565   0.05108203 -0.32693309
 -0.03344696 -0.34919015  0.16818771  0.03483228  0.04645551 -0.04981646
 -0.25443715 -0.00092529 -0.02601433 -0.11008099 -0.19518536  0.03107989
  0.10457294  0.04633093  0.11272518 -0.08508178 -0.08363983  0.31318843
  0.10243529 -0.20422645 -0.12594633 -0.42748019 -0.04546186 -0.15352479
 -0.14270797 -0.02236993  0.2285935  -0.08822586  0.11757231 -0.01980245
 -0.00531093  0.06595904  0.10051455 -0.10194823 -0.13692801  0.09244191
 -0.16733997  0.0640124   0.08185118 -0.10862121 -0.17093642 -0.10873941
  0.10970899  0.06197592  0.06885304 -0.1742225  -0.27962467  0.17845654
  0.11364415  0.32405937 -0.39136237  0.24524477 -0.09715744  0.09286167
  0.12383875  0.03850787  0.19809884  0.1042401  -0.08743418  0.01770684
 -0.12918004  0.0797592  -0.08121708 -0.05591372 -0.18566109  0.29181218
  0.02082208  0.05845999  0.04227053  0.19979937  0.19774304  0.07608391
  0.19247887  0.07023846 -0.00166727  0.03185722  0.38107219  0.0952696
  0.08943435 -0.08726871  0.04884201 -0.16305323]",2024-10-07,5,20,0,0,0
17,"[-0.09148401  0.23253544  0.0289704   0.09554088 -0.08088002 -0.2312872
  0.31646466  0.53118378 -0.25174186  0.03112865 -0.12058204 -0.36093912
 -0.02927598  0.05095467 -0.03186756 -0.3534075   0.05838006 -0.4177438
 -0.04802364 -0.44469544  0.20771855  0.05302158  0.05273537 -0.06084685
 -0.31715536  0.01231684 -0.03048072 -0.14816439 -0.25713405  0.0296294
  0.13184091  0.05506687  0.14484482 -0.12343287 -0.10595492  0.39851066
  0.14617136 -0.27104971 -0.16260855 -0.56070513 -0.0684153  -0.19766299
 -0.18736808 -0.02999764  0.29983094 -0.11099488  0.14719735 -0.01987609
 -0.01518237  0.08333334  0.12990573 -0.13770981 -0.17807071  0.11515558
 -0.21387921  0.07706627  0.10681135 -0.13794149 -0.20968699 -0.12649439
  0.14152609  0.08736739  0.09280369 -0.22138278 -0.35328174  0.23766573
  0.14099085  0.42795587 -0.50442499  0.31826705 -0.12641938  0.12807687
  0.1648836   0.05180615  0.25991648  0.14939372 -0.12385001  0.01443952
 -0.16742347  0.09445086 -0.11013668 -0.08290856 -0.23978372  0.37330505
  0.02746803  0.08120332  0.06487811  0.24925159  0.25637972  0.09691451
  0.24294333  0.0999097   0.00063495  0.04983091  0.50922519  0.1386922
  0.11420122 -0.11266866  0.05429171 -0.21622916]",2024-10-07,5,83,0,0,0
18,"[-0.07896911  0.20332128  0.02287904  0.08055312 -0.06722232 -0.19618419
  0.27829137  0.46260697 -0.22180387  0.03331169 -0.10339032 -0.31524256
 -0.02924963  0.04769347 -0.02881505 -0.3114664   0.0488888  -0.36836651
 -0.03685588 -0.39138329  0.18056786  0.04115107  0.04601071 -0.04619084
 -0.27719912  0.00634386 -0.02067723 -0.13244268 -0.23076795  0.02889938
  0.11670101  0.05118805  0.12385026 -0.11359425 -0.08475366  0.35164511
  0.12981437 -0.23671609 -0.14207248 -0.49588728 -0.05820984 -0.17465979
 -0.17023903 -0.02110674  0.2613391  -0.09925498  0.13228348 -0.01506794
 -0.01554386  0.06797209  0.11748828 -0.11879544 -0.15497947  0.10335274
 -0.18885043  0.06444566  0.09332445 -0.12314658 -0.1890623  -0.11282369
  0.12886183  0.07664801  0.0840584  -0.19571906 -0.31086892  0.20284382
  0.13096793  0.37658983 -0.44411814  0.28100526 -0.10973733  0.11798227
  0.13745658  0.05040337  0.23585904  0.13008957 -0.10774025  0.01728888
 -0.1419256   0.08049503 -0.09440966 -0.07650086 -0.20569944  0.32701811
  0.01746698  0.07073769  0.0576706   0.22339746  0.22406708  0.08550802
  0.2174356   0.08455427  0.00225796  0.04312425  0.44440037  0.11369345
  0.1020759  -0.09680419  0.04746903 -0.18343022]",2024-10-07,5,15,0,0,0
19,"[-0.05721051  0.14774086  0.01661191  0.05601029 -0.05078599 -0.14474486
  0.20073675  0.33198014 -0.16022165  0.02167834 -0.07599313 -0.23048456
 -0.01845688  0.03160091 -0.02018728 -0.22187291  0.03359719 -0.26541623
 -0.02482156 -0.28047985  0.13130119  0.02842327  0.0298885  -0.03095157
 -0.20124316  0.00459073 -0.01262938 -0.09389623 -0.16780196  0.02153149
  0.08437622  0.03875309  0.08968004 -0.08086274 -0.05922394  0.25461802
  0.0965803  -0.17183648 -0.1018219  -0.35813582 -0.04287839 -0.12275907
 -0.12467304 -0.01848477  0.1880483  -0.07111692  0.09695816 -0.01167518
 -0.01049137  0.04979613  0.08506522 -0.08784443 -0.11422282  0.07183919
 -0.13774836  0.04633468  0.06585958 -0.08524507 -0.1354391  -0.07914039
  0.09452522  0.05747527  0.0632667  -0.13891003 -0.22291017  0.14717545
  0.09075084  0.27014655 -0.32199168  0.20185699 -0.0817235   0.08478395
  0.10017898  0.0357379   0.17134058  0.09524424 -0.07978014  0.01077392
 -0.10154447  0.05602429 -0.07100672 -0.05482012 -0.14851893  0.23243667
  0.01563413  0.05437452  0.04237564  0.16300224  0.16041577  0.05882518
  0.15649913  0.06106371 -0.00040775  0.03254761  0.32258072  0.08329403
  0.07109362 -0.0714037   0.03173915 -0.13327752]",2024-10-07,5,24,0,0,0
